sku,name,slug,type,status,regular_price,sale_price,department,category_l1,category_l2,description,short_description,materials,finishes,dimensions,lead_time,minimum_order_qty,cad_drawing_url,image_urls,catalog_only_mode
LABH-6144,Labh Entertainment,labh-entertainment,simple,publish,,,Furniture,Cabinets,Bookcases,"Tall open-shelf entertainment unit with two drawers, dark mango. Crafted in Mango, Max Dark finish. From the Labh collection. Dimensions: 65cm W x 40cm D x 180cm H.","Tall open-shelf entertainment unit with two drawers, dark mango.",Mango,Max Dark,65cm W x 40cm D x 180cm H,,1,,labh-entertainment_1.webp,1
PAWAN-1005,Pawan Bookcase (1005),pawan-bookcase-1005,simple,publish,,,Furniture,Cabinets,Bookcases,"Tapered open bookcase with a dimple-carved drawer, on steel feet. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection.","Tapered open bookcase with a dimple-carved drawer, on steel feet.","Solid Wood, Brushed Steel",Dark Walnut Brown,,,1,,"pawan-bookcase-1005_1.webp,pawan-bookcase-1005_2.webp,pawan-bookcase-1005_3.webp,pawan-bookcase-1005_4.webp",1
THAR-6066,Thar Book Shelf (6066),thar-book-shelf-6066,simple,publish,,,Furniture,Cabinets,Bookcases,"Tall narrow open bookshelf in solid acacia. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 60cm W x 33cm D x 200cm H.",Tall narrow open bookshelf in solid acacia.,Acacia,Lime Cream,60cm W x 33cm D x 200cm H,,1,,"thar-book-shelf-6066_1.webp,thar-book-shelf-6066_2.webp",1
THAR-6067,Thar Book Shelf (6067),thar-book-shelf-6067,simple,publish,,,Furniture,Cabinets,Bookcases,"Tall open bookshelf in solid acacia (wider version). Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 90cm W x 33cm D x 200cm H.",Tall open bookshelf in solid acacia (wider version).,Acacia,Lime Cream,90cm W x 33cm D x 200cm H,,1,,thar-book-shelf-6067_1.webp,1
BALA-6020,Bala CD/DVD Rack,bala-cd-dvd-rack,simple,publish,,,Furniture,Cabinets,Cabinets,"Compact CD/DVD rack with open shelves and drawer. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 32cm W x 30cm D x 63cm H.",Compact CD/DVD rack with open shelves and drawer.,Acacia,Desert,32cm W x 30cm D x 63cm H,,1,,bala-cd-dvd-rack_1.webp,1
BALA-6028,Bala Entertainment (1 Drawer + 2 Doors),bala-entertainment-1-drawer-2-doors,simple,publish,,,Furniture,Cabinets,Cabinets,"Tall display cabinet with glazed door, drawer and lower door. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 69.5cm W x 39.5cm D x 181cm H.","Tall display cabinet with glazed door, drawer and lower door.",Acacia,Desert,69.5cm W x 39.5cm D x 181cm H,,1,,bala-entertainment-1-drawer-2-doors_1.webp,1
BALA-6029,Bala High Board,bala-high-board,simple,publish,,,Furniture,Cabinets,Cabinets,"High board with glazed upper doors over lower cupboard. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 112cm W x 40cm D x 155cm H.",High board with glazed upper doors over lower cupboard.,Acacia,Desert,112cm W x 40cm D x 155cm H,,1,,bala-high-board_1.webp,1
BALA-6018,Bala Hutch,bala-hutch,simple,publish,,,Furniture,Cabinets,Cabinets,"Two-piece hutch with glazed upper cabinet over drawers and doors. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 112cm W x 45cm D x 202cm H.",Two-piece hutch with glazed upper cabinet over drawers and doors.,Acacia,Desert,112cm W x 45cm D x 202cm H,,1,,bala-hutch_1.webp,1
DRIFTWOOD-DRF08,Driftwood Lattice 2 Doors Cabinet,driftwood-lattice-2-doors-cabinet,simple,publish,,,Furniture,Cabinets,Cabinets,"Two-door cabinet with lattice door fronts in lime sand-blasted mango. Crafted in Mango, Lime Sand Blast finish. From the Driftwood collection. Dimensions: 91cm W x 51cm D x 80cm H.",Two-door cabinet with lattice door fronts in lime sand-blasted mango.,Mango,Lime Sand Blast,91cm W x 51cm D x 80cm H,,1,,"driftwood-lattice-2-doors-cabinet_1.webp,driftwood-lattice-2-doors-cabinet_2.webp,driftwood-lattice-2-doors-cabinet_3.webp",1
LABH-6143,Labh Vitrine,labh-vitrine,simple,publish,,,Furniture,Cabinets,Cabinets,"Glass-door vitrine / display cabinet in dark mango. Crafted in Mango, Max Dark finish. From the Labh collection. Dimensions: 110cm W x 50cm D x 145cm H.",Glass-door vitrine / display cabinet in dark mango.,Mango,Max Dark,110cm W x 50cm D x 145cm H,,1,,labh-vitrine_1.webp,1
PAWAN-4004,Pawan DVD,pawan-dvd,simple,publish,,,Furniture,Cabinets,Cabinets,"DVD cabinet with four drawers and brass hardware on tapered legs. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 66cm W x 36cm D x 94cm H.",DVD cabinet with four drawers and brass hardware on tapered legs.,Mango,Colonial,66cm W x 36cm D x 94cm H,,1,,"pawan-dvd_1.webp,pawan-dvd_2.webp,pawan-dvd_3.webp",1
PAWAN-4002,Pawan Vitrine,pawan-vitrine,simple,publish,,,Furniture,Cabinets,Cabinets,"Tall vitrine with glazed upper doors and four drawers, brass hardware. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 100cm W x 50cm D x 200cm H.","Tall vitrine with glazed upper doors and four drawers, brass hardware.",Mango,Colonial,100cm W x 50cm D x 200cm H,,1,,"pawan-vitrine_1.webp,pawan-vitrine_2.webp",1
PLUTO-6123,Pluto Entertainment,pluto-entertainment,simple,publish,,,Furniture,Cabinets,Cabinets,"Tall display cabinet with glazed upper door and lower doors. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 60cm W x 40cm D x 160cm H.",Tall display cabinet with glazed upper door and lower doors.,Acacia,Max,60cm W x 40cm D x 160cm H,,1,,pluto-entertainment_1.webp,1
REED-RI316019,Reed Highboard,reed-highboard,simple,publish,,,Furniture,Cabinets,Cabinets,"Two-door reeded highboard with rounded sides, brass bar handles, internal shelves and two drawers, on black metal legs with brass caps. Crafted in Solid Mango Wood, White Marble Top, Metal, Whitewashed Reeded Mango finish. From the Reed collection. Dimensions: 101.3cm W x 49.6cm D x 120cm H.","Two-door reeded highboard with rounded sides, brass bar handles, internal shelves and two drawers, on black metal legs with brass caps.","Solid Mango Wood, White Marble Top, Metal",Whitewashed Reeded Mango,101.3cm W x 49.6cm D x 120cm H,,1,,"reed-highboard_1.webp,reed-highboard_2.webp,reed-highboard_3.webp,reed-highboard_4.webp,reed-highboard_5.webp,reed-highboard_6.webp,reed-highboard_7.webp,reed-highboard_8.webp,reed-highboard_9.webp,reed-highboard_10.webp,reed-highboard_11.webp,reed-highboard_12.webp,reed-highboard_13.webp,reed-highboard_14.webp,reed-highboard_15.webp,reed-highboard_16.webp",1
THAR-6074,Thar Buffet 2 Pieces (6074),thar-buffet-2-pieces-6074,simple,publish,,,Furniture,Cabinets,Cabinets,"Two-piece buffet: three-door glazed hutch over three-door base. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 175cm W x 35cm D x 145cm H.",Two-piece buffet: three-door glazed hutch over three-door base.,Acacia,Lime Cream,175cm W x 35cm D x 145cm H,,1,,"thar-buffet-2-pieces-6074_1.webp,thar-buffet-2-pieces-6074_2.webp",1
THAR-6075,Thar Buffet 2 Pieces (6075),thar-buffet-2-pieces-6075,simple,publish,,,Furniture,Cabinets,Cabinets,"Two-piece buffet: two-door glazed hutch over two-door base. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 120cm W x 35cm D x 145cm H.",Two-piece buffet: two-door glazed hutch over two-door base.,Acacia,Lime Cream,120cm W x 35cm D x 145cm H,,1,,"thar-buffet-2-pieces-6075_1.webp,thar-buffet-2-pieces-6075_2.webp",1
THAR-6081,Thar Glass Cabinet,thar-glass-cabinet,simple,publish,,,Furniture,Cabinets,Cabinets,"Glass cabinet with glazed upper section, drawers and lower doors. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 126cm W x 37cm D x 160cm H.","Glass cabinet with glazed upper section, drawers and lower doors.",Acacia,Lime Cream,126cm W x 37cm D x 160cm H,,1,,"thar-glass-cabinet_1.webp,thar-glass-cabinet_2.webp",1
BALA-6014,Bala Chest 6 Drawers,bala-chest-6-drawers,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Tall six-drawer chest in solid acacia with bar handles. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 63cm W x 44cm D x 139cm H.",Tall six-drawer chest in solid acacia with bar handles.,Acacia,Desert,63cm W x 44cm D x 139cm H,,1,,"bala-chest-6-drawers_1.webp,bala-chest-6-drawers_2.webp,bala-chest-6-drawers_3.webp,bala-chest-6-drawers_4.webp,bala-chest-6-drawers_5.webp",1
BALA-6009,Bala Dresser (4 Drawers + 2 Doors),bala-dresser-4-drawers-2-doors,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Wide dresser with four centre drawers flanked by two doors. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 200cm W x 45cm D x 90cm H.",Wide dresser with four centre drawers flanked by two doors.,Acacia,Desert,200cm W x 45cm D x 90cm H,,1,,"bala-dresser-4-drawers-2-doors_1.webp,bala-dresser-4-drawers-2-doors_2.webp,bala-dresser-4-drawers-2-doors_3.webp,bala-dresser-4-drawers-2-doors_4.webp,bala-dresser-4-drawers-2-doors_5.webp,bala-dresser-4-drawers-2-doors_6.webp,bala-dresser-4-drawers-2-doors_7.webp,bala-dresser-4-drawers-2-doors_8.webp",1
DRIFTWOOD-DRF07,Driftwood Three Drawer Chest,driftwood-three-drawer-chest,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Demilune (half-round) three-drawer chest in lime sand-blasted mango with round knobs. Crafted in Mango, Lime Sand Blast finish. From the Driftwood collection. Dimensions: 91.44cm W x 50.8cm D x 104.14cm H.",Demilune (half-round) three-drawer chest in lime sand-blasted mango with round knobs.,Mango,Lime Sand Blast,91.44cm W x 50.8cm D x 104.14cm H,,1,,"driftwood-three-drawer-chest_1.webp,driftwood-three-drawer-chest_2.webp,driftwood-three-drawer-chest_3.webp,driftwood-three-drawer-chest_4.webp,driftwood-three-drawer-chest_5.webp,driftwood-three-drawer-chest_6.webp,driftwood-three-drawer-chest_7.webp,driftwood-three-drawer-chest_8.webp",1
LABH-6141,Labh Dresser (2 Doors + 4 Drawers),labh-dresser-2-doors-4-drawers,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Wide mango-wood dresser with four centre drawers between two doors, dark finish. Crafted in Mango, Max Dark finish. From the Labh collection. Dimensions: 180cm W x 45cm D x 85cm H.","Wide mango-wood dresser with four centre drawers between two doors, dark finish.",Mango,Max Dark,180cm W x 45cm D x 85cm H,,1,,"labh-dresser-2-doors-4-drawers_1.webp,labh-dresser-2-doors-4-drawers_2.webp,labh-dresser-2-doors-4-drawers_3.webp,labh-dresser-2-doors-4-drawers_4.webp,labh-dresser-2-doors-4-drawers_5.webp,labh-dresser-2-doors-4-drawers_6.webp,labh-dresser-2-doors-4-drawers_7.webp,labh-dresser-2-doors-4-drawers_8.webp,labh-dresser-2-doors-4-drawers_9.webp,labh-dresser-2-doors-4-drawers_10.webp,labh-dresser-2-doors-4-drawers_11.webp,labh-dresser-2-doors-4-drawers_12.webp,labh-dresser-2-doors-4-drawers_13.webp,labh-dresser-2-doors-4-drawers_14.webp",1
PAWAN-1018,Pawan Drawer Chest (1018),pawan-drawer-chest-1018,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Six-drawer chest in figured solid wood wrapped in a curved dark metal band, with bar pulls. Crafted in Solid Wood, Iron, Natural Wood with Black Iron finish. From the Pawan collection. Dimensions: 124cm W x 42cm D x 80cm H.","Six-drawer chest in figured solid wood wrapped in a curved dark metal band, with bar pulls.","Solid Wood, Iron",Natural Wood with Black Iron,124cm W x 42cm D x 80cm H,,1,,"pawan-drawer-chest-1018_1.webp,pawan-drawer-chest-1018_2.webp,pawan-drawer-chest-1018_3.webp,pawan-drawer-chest-1018_4.webp",1
PAWAN-4005,Pawan Dresser,pawan-dresser,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Long dresser with three centre drawers and side doors, brass campaign-style hardware. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 200cm W x 49cm D x 85cm H.","Long dresser with three centre drawers and side doors, brass campaign-style hardware.",Mango,Colonial,200cm W x 49cm D x 85cm H,,1,,"pawan-dresser_1.webp,pawan-dresser_2.webp,pawan-dresser_3.webp,pawan-dresser_4.webp,pawan-dresser_5.webp,pawan-dresser_6.webp,pawan-dresser_7.webp,pawan-dresser_8.webp,pawan-dresser_9.webp,pawan-dresser_10.webp,pawan-dresser_11.webp,pawan-dresser_12.webp",1
PLUTO-6109,Pluto Chest,pluto-chest,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Tall chest with open top niche, two-door cupboard and three drawers. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 35cm W x 50cm D x 130cm H.","Tall chest with open top niche, two-door cupboard and three drawers.",Acacia,Max,35cm W x 50cm D x 130cm H,,1,,"pluto-chest_1.webp,pluto-chest_2.webp,pluto-chest_3.webp,pluto-chest_4.webp,pluto-chest_5.webp,pluto-chest_6.webp,pluto-chest_7.webp,pluto-chest_8.webp,pluto-chest_9.webp",1
PLUTO-6107,Pluto Dresser,pluto-dresser,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Dresser with two-door cupboard and bank of drawers in dark acacia. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 132cm W x 45cm D x 88cm H.",Dresser with two-door cupboard and bank of drawers in dark acacia.,Acacia,Max,132cm W x 45cm D x 88cm H,,1,,"pluto-dresser_1.webp,pluto-dresser_2.webp,pluto-dresser_3.webp,pluto-dresser_4.webp,pluto-dresser_5.webp,pluto-dresser_6.webp",1
SHORA-4283,Shora Trunk,shora-trunk,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Large solid acacia trunk / blanket chest with twin lift-up lids. Crafted in Acacia, Lime finish finish. From the Shora collection. Dimensions: 129.5cm W x 68.6cm D x 40.6cm H.",Large solid acacia trunk / blanket chest with twin lift-up lids.,Acacia,Lime finish,129.5cm W x 68.6cm D x 40.6cm H,,1,,"shora-trunk_1.webp,shora-trunk_2.webp,shora-trunk_3.webp,shora-trunk_4.webp,shora-trunk_5.webp,shora-trunk_6.webp",1
TEAK-TK-01,Teak Chest of Drawer,teak-chest-of-drawer,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Six-drawer patchwork teak chest set in a black iron frame with an open top shelf. Crafted in Iron, Teak Wood, MDF, Natural Lacquered finish. From the Teak collection. Dimensions: 90cm W x 45cm D x 100cm H.",Six-drawer patchwork teak chest set in a black iron frame with an open top shelf.,"Iron, Teak Wood, MDF",Natural Lacquered,90cm W x 45cm D x 100cm H,,1,,"teak-chest-of-drawer_1.webp,teak-chest-of-drawer_2.webp",1
THAR-6060,Thar Dresser (6060),thar-dresser-6060,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Long dresser with three ribbed centre drawers between two doors. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 216cm W x 45cm D x 90cm H.",Long dresser with three ribbed centre drawers between two doors.,Acacia,Lime Cream,216cm W x 45cm D x 90cm H,,1,,"thar-dresser-6060_1.webp,thar-dresser-6060_2.webp,thar-dresser-6060_3.webp,thar-dresser-6060_4.webp,thar-dresser-6060_5.webp,thar-dresser-6060_6.webp,thar-dresser-6060_7.webp,thar-dresser-6060_8.webp,thar-dresser-6060_9.webp,thar-dresser-6060_10.webp",1
THAR-6061,Thar Dresser (6061),thar-dresser-6061,simple,publish,,,Furniture,Cabinets,Chests & Dressers,"Three-door dresser with ribbed rattan-look drawer fronts above. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 187cm W x 45cm D x 90cm H.",Three-door dresser with ribbed rattan-look drawer fronts above.,Acacia,Lime Cream,187cm W x 45cm D x 90cm H,,1,,"thar-dresser-6061_1.webp,thar-dresser-6061_2.webp,thar-dresser-6061_3.webp,thar-dresser-6061_4.webp,thar-dresser-6061_5.webp,thar-dresser-6061_6.webp,thar-dresser-6061_7.webp,thar-dresser-6061_8.webp,thar-dresser-6061_9.webp,thar-dresser-6061_10.webp,thar-dresser-6061_11.webp",1
BALA-6008,Bala Bed Side One Drawer,bala-bed-side-one-drawer,simple,publish,,,Furniture,Cabinets,Nightstands,"Bedside table with one drawer and open shelf. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 45cm W x 40cm D x 50cm H.",Bedside table with one drawer and open shelf.,Acacia,Desert,45cm W x 40cm D x 50cm H,,1,,bala-bed-side-one-drawer_1.webp,1
BALA-6007,Bala Bed Side Plain,bala-bed-side-plain,simple,publish,,,Furniture,Cabinets,Nightstands,"Bedside table with top drawer and two open shelves. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 45cm W x 40cm D x 50cm H.",Bedside table with top drawer and two open shelves.,Acacia,Desert,45cm W x 40cm D x 50cm H,,1,,"bala-bed-side-plain_1.webp,bala-bed-side-plain_2.webp,bala-bed-side-plain_3.webp,bala-bed-side-plain_4.webp,bala-bed-side-plain_5.webp,bala-bed-side-plain_6.webp,bala-bed-side-plain_7.webp,bala-bed-side-plain_8.webp,bala-bed-side-plain_9.webp,bala-bed-side-plain_10.webp",1
BALA-6013,Bala Bed Table,bala-bed-table,simple,publish,,,Furniture,Cabinets,Nightstands,"Low wide bed-side table with open shelf. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 120cm W x 45cm D x 50cm H.",Low wide bed-side table with open shelf.,Acacia,Desert,120cm W x 45cm D x 50cm H,,1,,bala-bed-table_1.webp,1
SHORA-4296,Shora Bed Side,shora-bed-side,simple,publish,,,Furniture,Cabinets,Nightstands,"Compact bedside cabinet with single door in lime-finished acacia. Crafted in Acacia, Lime finish finish. From the Shora collection. Dimensions: 45.7cm W x 35.6cm D x 40.6cm H.",Compact bedside cabinet with single door in lime-finished acacia.,Acacia,Lime finish,45.7cm W x 35.6cm D x 40.6cm H,,1,,shora-bed-side_1.webp,1
TEAK-TK-06,Teak Bed Side,teak-bed-side,simple,publish,,,Furniture,Cabinets,Nightstands,"Bedside table with a patchwork-teak drawer, open top shelf and black iron frame. Crafted in Iron, Teak Wood, MDF, Natural Lacquered finish. From the Teak collection. Dimensions: 50cm W x 45cm D x 60cm H.","Bedside table with a patchwork-teak drawer, open top shelf and black iron frame.","Iron, Teak Wood, MDF",Natural Lacquered,50cm W x 45cm D x 60cm H,,1,,"teak-bed-side_1.webp,teak-bed-side_2.webp,teak-bed-side_3.webp",1
BALA-6011,Bala Buffet (3 Drawers + 1 Door),bala-buffet-3-drawers-1-door,simple,publish,,,Furniture,Cabinets,Sideboards,"Buffet with three drawers and one door. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 100cm W x 44cm D x 80cm H.",Buffet with three drawers and one door.,Acacia,Desert,100cm W x 44cm D x 80cm H,,1,,bala-buffet-3-drawers-1-door_1.webp,1
BALA-6017,Bala Hutch Lower Part,bala-hutch-lower-part,simple,publish,,,Furniture,Cabinets,Sideboards,"Buffet (hutch lower part) with two drawers over two doors. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 112cm W x 45cm D x 91cm H.",Buffet (hutch lower part) with two drawers over two doors.,Acacia,Desert,112cm W x 45cm D x 91cm H,,1,,bala-hutch-lower-part_1.webp,1
DRIFTWOOD-DRF09,Driftwood Lattice Credenza,driftwood-lattice-credenza,simple,publish,,,Furniture,Cabinets,Sideboards,"Four-door lattice-front credenza in lime sand-blasted mango. Crafted in Mango, Lime Sand Blast finish. From the Driftwood collection. Dimensions: 183cm W x 51cm D x 80cm H.",Four-door lattice-front credenza in lime sand-blasted mango.,Mango,Lime Sand Blast,183cm W x 51cm D x 80cm H,,1,,"driftwood-lattice-credenza_1.webp,driftwood-lattice-credenza_2.webp,driftwood-lattice-credenza_3.webp",1
PAWAN-1020,Pawan Side Board (1020),pawan-side-board-1020,simple,publish,,,Furniture,Cabinets,Sideboards,"Sideboard with two doors and three centre drawers in figured solid wood with a curved metal band. Crafted in Solid Wood, Iron, Natural Wood with Black Iron finish. From the Pawan collection. Dimensions: 124cm W x 42cm D x 80cm H.",Sideboard with two doors and three centre drawers in figured solid wood with a curved metal band.,"Solid Wood, Iron",Natural Wood with Black Iron,124cm W x 42cm D x 80cm H,,1,,"pawan-side-board-1020_1.webp,pawan-side-board-1020_2.webp,pawan-side-board-1020_3.webp,pawan-side-board-1020_4.webp",1
PAWAN-SB-NOCODE,Pawan Sideboard (Dimple Range),pawan-sideboard-dimple-range,simple,draft,,,Furniture,Cabinets,Sideboards,"Angled-side sideboard with bank of drawers, door with internal shelves and dimple-carved top, on steel feet. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection.","Angled-side sideboard with bank of drawers, door with internal shelves and dimple-carved top, on steel feet.","Solid Wood, Brushed Steel",Dark Walnut Brown,,,1,,"pawan-sideboard-dimple-range_1.webp,pawan-sideboard-dimple-range_2.webp,pawan-sideboard-dimple-range_3.webp,pawan-sideboard-dimple-range_4.webp",1
PLUTO-6124,Pluto High Board,pluto-high-board,simple,publish,,,Furniture,Cabinets,Sideboards,"High sideboard with bank of drawers and doors in dark acacia. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 156cm W x 45cm D x 140cm H.",High sideboard with bank of drawers and doors in dark acacia.,Acacia,Max,156cm W x 45cm D x 140cm H,,1,,pluto-high-board_1.webp,1
REED-RI312222,Reed Wide Sideboard,reed-wide-sideboard,simple,publish,,,Furniture,Cabinets,Sideboards,"Fully reeded curved-front sideboard with two doors and two centre drawers, brass bar handles, white marble top and slim black metal legs. Crafted in Solid Mango Wood, White Marble Top, Metal, Whitewashed Reeded Mango finish. From the Reed collection. Dimensions: 149.7cm W x 49.6cm D x 78.6cm H.","Fully reeded curved-front sideboard with two doors and two centre drawers, brass bar handles, white marble top and slim black metal legs.","Solid Mango Wood, White Marble Top, Metal",Whitewashed Reeded Mango,149.7cm W x 49.6cm D x 78.6cm H,,1,,"reed-wide-sideboard_1.webp,reed-wide-sideboard_2.webp,reed-wide-sideboard_3.webp,reed-wide-sideboard_4.webp,reed-wide-sideboard_5.webp,reed-wide-sideboard_6.webp,reed-wide-sideboard_7.webp,reed-wide-sideboard_8.webp,reed-wide-sideboard_9.webp,reed-wide-sideboard_10.webp",1
SHORA-4282,Shora Buffet,shora-buffet,simple,publish,,,Furniture,Cabinets,Sideboards,"Buffet with doors, centre wine-rack cubbies and open top shelf. Crafted in Acacia, Lime finish finish. From the Shora collection. Dimensions: 134.6cm W x 45.7cm D x 78.7cm H.","Buffet with doors, centre wine-rack cubbies and open top shelf.",Acacia,Lime finish,134.6cm W x 45.7cm D x 78.7cm H,,1,,shora-buffet_1.webp,1
TEAK-TK-02,Teak Side Board,teak-side-board,simple,publish,,,Furniture,Cabinets,Sideboards,"Sideboard with two doors and two centre drawers in reclaimed-look patchwork teak, black iron frame and open top shelf. Crafted in Iron, Teak Wood, MDF, Natural Lacquered finish. From the Teak collection. Dimensions: 135cm W x 45cm D x 90cm H.","Sideboard with two doors and two centre drawers in reclaimed-look patchwork teak, black iron frame and open top shelf.","Iron, Teak Wood, MDF",Natural Lacquered,135cm W x 45cm D x 90cm H,,1,,teak-side-board_1.webp,1
